"","Scientific_Name","Duration","Active_Growth_Period","Foliage_Color","pH_Min","pH_Max","Precip_Min","Precip_Max","Shade_Tolerance","Temp_Min_F"
"4170","Sanguisorba minor","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4171","Sanguisorba minor ssp. balearica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4172","Sanicula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4173","Sanicula canadensis","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"4174","Sanicula canadensis var. canadensis","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"4175","Sanicula marilandica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4176","Sanicula odorata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4177","Sanicula trifoliata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4178","Sanvitalia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4179","Sanvitalia procumbens","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4180","Saponaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4181","Saponaria officinalis","Perennial","Spring and Summer","Green",5,7,32,45,"Intermediate",-18
"4182","Sarracenia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4183","Sarracenia purpurea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4184","Sarracenia purpurea ssp. gibbosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4185","Sassafras",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4186","Sassafras albidum","Perennial","Spring and Summer","Green",4.5,7.3,30,80,"Intolerant",-27
"4187","Saururus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4188","Saururus cernuus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4189","Saxifraga",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4190","Saxifraga michauxii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4191","Saxifraga micranthidifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4192","Saxifraga pensylvanica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4193","Saxifraga virginiensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4194","Saxifraga virginiensis var. virginiensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4195","Scandix",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4196","Scandix pecten-veneris","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4197","Schedonorus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4198","Schedonorus arundinaceus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4199","Schedonorus pratensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4200","Schizachne",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4201","Schizachne purpurascens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4202","Schizachyrium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4203","Schizachyrium littorale","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4204","Schizachyrium scoparium","Perennial","Summer and Fall","Gray-Green",5,8.4,12,45,"Intolerant",-38
"4205","Schizachyrium scoparium var. scoparium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4206","Schkuhria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4207","Schkuhria pinnata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4208","Schkuhria pinnata var. guatemalensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4209","Schoenoplectiella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4210","Schoenoplectiella mucronata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4211","Schoenoplectiella purshiana","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4212","Schoenoplectiella smithii","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4213","Schoenoplectus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4214","Schoenoplectus americanus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4215","Schoenoplectus etuberculatus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4216","Schoenoplectus fluviatilis","Perennial","Summer","Green",4,7.5,18,60,"Intolerant",-38
"4217","Schoenoplectus novae-angliae","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4218","Schoenoplectus pungens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4219","Schoenoplectus pungens var. pungens","Perennial","Summer","Dark Green",3.7,7.5,12,60,"Intolerant",-38
"4220","Schoenoplectus robustus","Perennial","Summer","Green",6.4,8.4,16,35,"Intolerant",7
"4221","Schoenoplectus subterminalis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4222","Schoenoplectus tabernaemontani","Perennial","Spring, Summer, Fall","Green",5.4,7.5,18,55,"Intolerant",-38
"4223","Schoenoplectus torreyi","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4224","Schwalbea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4225","Schwalbea americana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4226","Scirpus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4227","Scirpus ancistrochaetus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4228","Scirpus atrovirens","Perennial","Spring","Dark Green",4,8,16,60,"Intolerant",-53
"4229","Scirpus cyperinus","Perennial","Spring","Green",4.8,7.2,40,60,"Intermediate",-33
"4230","Scirpus expansus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4231","Scirpus georgianus","Perennial","Spring and Summer","Dark Green",4.5,7,35,55,"Intermediate",-38
"4232","Scirpus hattorianus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4233","Scirpus pendulus","Perennial","Spring and Summer","Green",4.9,7,30,55,"Intolerant",-38
"4234","Scirpus polyphyllus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4235","Scleranthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4236","Scleranthus annuus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4237","Scleria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4238","Scleria minor","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4239","Scleria muehlenbergii","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4240","Scleria oligantha","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4241","Scleria pauciflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4242","Scleria pauciflora var. caroliniana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4243","Scleria pauciflora var. pauciflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4244","Scleria reticularis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4245","Scleria triglomerata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4246","Scleria verticillata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4247","Sclerochloa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4248","Sclerochloa dura","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4249","Sclerolepis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4250","Sclerolepis uniflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4251","Scrophularia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4252","Scrophularia lanceolata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4253","Scrophularia marilandica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4254","Scutellaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4255","Scutellaria elliptica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4256","Scutellaria elliptica var. elliptica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4257","Scutellaria galericulata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4258","Scutellaria incana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4259","Scutellaria incana var. incana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4260","Scutellaria integrifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4261","Scutellaria lateriflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4262","Scutellaria lateriflora var. lateriflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4263","Scutellaria nervosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4264","Scutellaria ovata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4265","Scutellaria ovata ssp. ovata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4266","Scutellaria ovata ssp. rugosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4267","Scutellaria ovata ssp. virginiana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4268","Scutellaria parvula","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4269","Scutellaria parvula var. missouriensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4270","Scutellaria parvula var. parvula","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4271","Scutellaria saxatilis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4272","Scutellaria serrata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4273","Secale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4274","Secale cereale","Annual","Spring, Summer, Fall","Green",4.5,8.2,8,50,"Intolerant",-33
"4275","Securigera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4276","Securigera cretica","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4277","Securigera varia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4278","Sedum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4279","Sedum acre","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4280","Sedum glaucophyllum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4281","Sedum sarmentosum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4282","Sedum ternatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4283","Selaginella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4284","Selaginella apoda","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4285","Selaginella rupestris","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4286","Senecio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4287","Senecio cineraria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4288","Senecio vulgaris","Annual, Biennial","Spring and Summer","Green",5,8.5,16,55,"Intolerant",47
"4289","Senna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4290","Senna bauhinioides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4291","Senna hebecarpa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4292","Senna italica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4293","Senna marilandica","Perennial","Spring and Summer","Green",4,7,20,60,"Intermediate",-18
"4294","Senna obtusifolia","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4295","Senna occidentalis","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4296","Sericocarpus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4297","Sericocarpus asteroides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4298","Sericocarpus linifolius","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4299","Sesbania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4300","Sesbania herbacea","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4301","Seseli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4302","Seseli libanotis","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"4303","Sesuvium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4304","Sesuvium maritimum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4305","Setaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4306","Setaria faberi","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4307","Setaria grisebachii","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4308","Setaria italica","Annual","Spring and Summer","Green",5.3,6.9,25,60,"Intolerant",52
"4309","Setaria magna","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4310","Setaria parviflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4311","Setaria pumila","Annual","Spring and Summer","Green",5,7,25,60,"Intolerant",52
"4312","Setaria pumila ssp. pumila","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4313","Setaria verticillata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4314","Setaria verticilliformis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4315","Setaria viridis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4316","Setaria viridis var. viridis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4317","Sherardia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4318","Sherardia arvensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4319","Sibara",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4320","Sibara virginica","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"4321","Sibbaldiopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4322","Sibbaldiopsis tridentata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4323","Sicyos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4324","Sicyos angulatus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4325","Sida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4326","Sida cordata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4327","Sida hermaphrodita","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4328","Sida rhombifolia","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4329","Sida spinosa","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4330","Sideroxylon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4331","Sideroxylon lycioides","Perennial","Spring, Summer, Fall","Green",4,7,33,51,"Tolerant",-27
"4332","Silene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4333","Silene antirrhina","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4334","Silene armeria","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4335","Silene caroliniana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4336","Silene caroliniana ssp. pensylvanica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4337","Silene conica","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4338","Silene conoidea","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4339","Silene csereii","Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4340","Silene dichotoma","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4341","Silene dioica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4342","Silene drummondii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4343","Silene drummondii var. drummondii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4344","Silene latifolia","Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4345","Silene latifolia ssp. alba","Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4346","Silene nivea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4347","Silene noctiflora","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4348","Silene stellata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4349","Silene virginica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4350","Silene virginica var. virginica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4351","Silene vulgaris","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4352","Silphium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4353","Silphium asteriscus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4354","Silphium asteriscus var. asteriscus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4355","Silphium perfoliatum","Perennial","Summer","Green",4.5,7.5,16,51,"Intermediate",-49
"4356","Silphium perfoliatum var. connatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4357","Silphium perfoliatum var. perfoliatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4358","Silphium trifoliatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4359","Silphium trifoliatum var. trifoliatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4360","Silybum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4361","Silybum marianum","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"4362","Simsia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4363","Simsia lagasceiformis","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4364","Sinapis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4365","Sinapis alba","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4366","Sinapis arvensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4367","Sinapis arvensis ssp. arvensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4368","Sisymbrium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4369","Sisymbrium altissimum","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"4370","Sisymbrium loeselii","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"4371","Sisymbrium officinale","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4372","Sisyrinchium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4373","Sisyrinchium angustifolium","Perennial","Spring and Summer","Green",5,7,32,60,"Intermediate",-3
"4374","Sisyrinchium atlanticum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4375","Sisyrinchium fuscatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4376","Sisyrinchium mucronatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4377","Sium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4378","Sium suave","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4379","Smallanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4380","Smallanthus uvedalius","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4381","Smilax",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382","Smilax bona-nox","Perennial","Spring and Summer","Green",4.5,8.5,20,60,"Tolerant",-18
"4383","Smilax bona-nox var. bona-nox","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4384","Smilax ecirrhata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4385","Smilax glauca","Perennial","Spring and Summer","Gray-Green",4.5,7.5,35,60,"Tolerant",-13
"4386","Smilax herbacea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4387","Smilax laurifolia","Perennial","Spring and Summer","Green",4,7,45,60,"Tolerant",-8
"4388","Smilax pseudochina","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4389","Smilax pulverulenta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4390","Smilax rotundifolia","Perennial","Summer","Green",5,7.5,32,60,"Intolerant",-33
"4391","Smilax tamnoides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4392","Smilax walteri","Perennial","Spring and Summer","Green",4,7,40,60,"Tolerant",-8
"4393","Solanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4394","Solanum adscendens","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4395","Solanum carolinense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4396","Solanum carolinense var. carolinense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4397","Solanum dulcamara","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4398","Solanum dulcamara var. dulcamara","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4399","Solanum elaeagnifolium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4400","Solanum lycopersicum","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4401","Solanum lycopersicum var. lycopersicum","Annual, Perennial","Year Round","Green",5.5,7,60,80,"Intermediate",32
"4402","Solanum nigrum","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4403","Solanum physalifolium","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4404","Solanum ptycanthum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4405","Solanum rostratum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4406","Solanum torvum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4407","Solanum tuberosum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4408","Solanum virginianum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4409","Solidago",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4410","Solidago altissima","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4411","Solidago arguta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4412","Solidago arguta var. arguta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4413","Solidago arguta var. caroliniana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4414","Solidago arguta var. harrisii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4415","Solidago bicolor","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4416","Solidago caesia","Perennial","Spring and Summer","Dark Green",5.5,7,32,50,"Intermediate",-28
"4417","Solidago canadensis","Perennial","Spring and Summer","Green",4.8,7.5,16,60,"Intolerant",-43
"4418","Solidago canadensis var. gilvocanescens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4419","Solidago canadensis var. hargeri","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4420","Solidago curtisii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4421","Solidago erecta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4422","Solidago fistulosa","Perennial","Summer and Fall","Dark Green",4.5,7,40,65,"Tolerant",7
"4423","Solidago flexicaulis","Perennial","Spring, Summer, Fall","Green",5.3,7,20,55,"Intermediate",-18
"4424","Solidago gigantea","Perennial","Summer","Green",4,8,14,50,"Intermediate",-33
"4425","Solidago hispida","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4426","Solidago hispida var. hispida","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4427","Solidago juncea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4428","Solidago latissimifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4429","Solidago missouriensis","Perennial","Spring, Summer, Fall","Green",5.5,7.5,12,35,"Intermediate",-38
"4430","Solidago missouriensis var. fasciculata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4431","Solidago nemoralis","Perennial","Spring and Summer","Green",6.5,7.5,15,45,"Intolerant",-33
"4432","Solidago nemoralis var. nemoralis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4433","Solidago odora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4434","Solidago odora var. odora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4435","Solidago patula","Perennial","Summer","Green",4.5,7,20,60,"Intermediate",-43
"4436","Solidago patula var. patula","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4437","Solidago puberula","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4438","Solidago puberula var. puberula","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4439","Solidago puberula var. pulverulenta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4440","Solidago roanensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4441","Solidago rugosa","Perennial","Spring and Summer","Green",5,7.5,24,60,"Intermediate",-33
"4442","Solidago rugosa ssp. aspera","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4443","Solidago rugosa ssp. rugosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4444","Solidago rugosa ssp. rugosa var. rugosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4445","Solidago rugosa ssp. rugosa var. villosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4446","Solidago rupestris","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4447","Solidago sempervirens","Perennial","Spring and Summer","Dark Green",5.5,7.5,35,60,"Intolerant",-13
"4448","Solidago sempervirens var. mexicana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4449","Solidago sempervirens var. sempervirens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4450","Solidago simplex","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4451","Solidago simplex ssp. randii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4452","Solidago simplex ssp. randii var. racemosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4453","Solidago speciosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4454","Solidago speciosa var. speciosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4455","Solidago squarrosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4456","Solidago stricta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4457","Solidago uliginosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4458","Solidago uliginosa var. uliginosa","Perennial","Spring, Summer, Fall","Green",4.5,5.7,36,55,"Intermediate",-23
"4459","Solidago ulmifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4460","Solidago ulmifolia var. ulmifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4461","Sonchus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4462","Sonchus arvensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4463","Sonchus arvensis ssp. arvensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4464","Sonchus arvensis ssp. uliginosus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4465","Sonchus asper","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4466","Sonchus oleraceus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"4467","Sorbus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4468","Sorbus americana","Perennial","Spring and Summer","Green",5.3,6.8,24,60,"Intermediate",-38
"4469","Sorbus aucuparia","Perennial","Spring and Summer","Green",5.5,7.5,28,60,"Intermediate",-33
"4470","Sorghastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4471","Sorghastrum elliottii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4472","Sorghastrum nutans","Perennial","Summer and Fall","Green",4.8,8,11,45,"Intolerant",-38
"4473","Sorghum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4474","Sorghum bicolor","Annual","Summer and Fall","Green",5.5,7.5,18,60,"Intolerant",47
"4475","Sorghum bicolor ssp. bicolor","Annual","Summer and Fall","Green",5.5,7.5,18,60,"Intolerant",47
"4476","Sorghum halepense","Perennial","Summer and Fall","Green",5,7,32,60,"Intolerant",-13
"4477","Sparganium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4478","Sparganium americanum","Perennial","Spring","Green",4.9,7.3,35,50,"Intermediate",-33
"4479","Sparganium androcladum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4480","Sparganium emersum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"4481","Sparganium eurycarpum","Perennial","Spring","Green",5,8.5,10,50,"Intermediate",-33
"4482","Spartina",NA,NA,NA,NA,NA,NA,NA,NA,NA
